ID,Species,Plot,Forest_Type,Rats,Year,Diam_cm
PG 35,PG,Eastern,Mixed,pre,2010,4.7
PG 36,PG,Eastern,Mixed,pre,2010,9.6
PG 41,PG,Eastern,Mixed,pre,2010,7.006369427
PG13,PG,Eastern,Mixed,pre,2010,7.006369427
PG15,PG,Eastern,Mixed,pre,2010,2.4
PG17,PG,Eastern,Mixed,pre,2010,3.7
PG18,PG,Eastern,Mixed,pre,2010,4.8
PG19,PG,Eastern,Mixed,pre,2010,2.7
PG21,PG,Eastern,Mixed,pre,2010,1.6
PG26,PG,Eastern,Mixed,pre,2010,3.7
PG3,PG,Eastern,Mixed,pre,2010,4.777070064
PG30,PG,Eastern,Mixed,pre,2010,7.006369427
PG33,PG,Eastern,Mixed,pre,2010,3.184713376
PG4,PG,Eastern,Mixed,pre,2010,5.3
PG5,PG,Eastern,Mixed,pre,2010,3.5
499,PF,Eastern,Mixed,pre,2010,2.3
458,PF,Eastern,Mixed,pre,2010,2.7
PG 1749,PG,Eastern,Mixed,post,2016,4.3
PG 1751,PG,Eastern,Mixed,post,2016,5.5
PG 1791,PG,Eastern,Mixed,post,2016,3.2
PG 318,PG,Eastern,Mixed,post,2016,3.1
PG 326,PG,Eastern,Mixed,post,2016,7.2
PG 3701,PG,Eastern,Mixed,post,2016,7
PG 3714,PG,Eastern,Mixed,post,2016,3.4
PG 3714,PG,Eastern,Mixed,post,2016,5.2
PG 3715,PG,Eastern,Mixed,post,2016,5.7
PG 3716,PG,Eastern,Mixed,post,2016,2.1
PG 3717,PG,Eastern,Mixed,post,2016,5.7
PG 3719,PG,Eastern,Mixed,post,2016,6.2
PG 3749,PG,Eastern,Mixed,post,2016,2.9
PG 3750,PG,Eastern,Mixed,post,2016,22
PG 3751,PG,Eastern,Mixed,post,2016,5.6
PG 3752,PG,Eastern,Mixed,post,2016,1.8
PG 3758,PG,Eastern,Mixed,post,2016,2.8
PG 3768,PG,Eastern,Mixed,post,2016,2.9
PG 3772,PG,Eastern,Mixed,post,2016,2.2
PG 3786,PG,Eastern,Mixed,post,2016,6.3
PG 3800,PG,Eastern,Mixed,post,2016,2
PG 4097,PG,Eastern,Mixed,post,2016,7.6
PG 411,PG,Eastern,Mixed,post,2016,4.7
PG 413,PG,Eastern,Mixed,post,2016,4.4
PG 438,PG,Eastern,Mixed,post,2016,6.7
PG 837,PG,Eastern,Mixed,post,2016,1.7
PG 840,PG,Eastern,Mixed,post,2016,2.2
PG 844,PG,Eastern,Mixed,post,2016,5.5
PG 847,PG,Eastern,Mixed,post,2016,4.1
PG1791,PG,Eastern,Mixed,post,2016,1.7
PG1879,PG,Eastern,Mixed,post,2016,2.6
PG1880,PG,Eastern,Mixed,post,2016,2.2
PG1881,PG,Eastern,Mixed,post,2016,6.3
PG1882,PG,Eastern,Mixed,post,2016,2.5
PG333,PG,Eastern,Mixed,post,2016,2.5
PG414,PG,Eastern,Mixed,post,2016,7
PG838,PG,Eastern,Mixed,post,2016,7.7
PG887,PG,Eastern,Mixed,post,2016,1.5
PF 1883,PF,Eastern,Mixed,post,2016,8.8
PF 785,PF,Eastern,Mixed,post,2016,7
H1 PF1,PF,Holei 1,Mono,pre,2008,1.1
H1 PF2,PF,Holei 1,Mono,pre,2008,0.5
H1 PF3,PF,Holei 1,Mono,pre,2008,1.2
H1 PF4,PF,Holei 1,Mono,pre,2008,1.1
H1 PF5,PF,Holei 1,Mono,pre,2008,1.9
H1 PF7,PF,Holei 1,Mono,pre,2008,0.8
732,PF,Holei 1,Mono,pre,2008,0.8
735,PF,Holei 1,Mono,pre,2008,0.8
H1 PF2,PF,Holei 1,Mono,pre,2010,0.5
H1 PF4,PF,Holei 1,Mono,pre,2010,1.1
H1 PF5,PF,Holei 1,Mono,pre,2010,1.9
H1 PF7,PF,Holei 1,Mono,pre,2010,0.8
H2 PG53,PG,Holei 2,Mixed,pre,2008,2.6
H2 PG4,PG,Holei 2,Mixed,pre,2008,0.7
H2 PG6,PG,Holei 2,Mixed,pre,2008,2.6
H2 PG50,PG,Holei 2,Mixed,pre,2008,0.8
H2 PG 51,PG,Holei 2,Mixed,pre,2008,1.5
566,PG,Holei 2,Mixed,pre,2008,0.7
H2 PF1,PF,Holei 2,Mixed,pre,2008,1.3
H2 PF633,PF,Holei 2,Mixed,pre,2008,3
H2 PF10,PF,Holei 2,Mixed,pre,2008,2.4
H2 PF12,PF,Holei 2,Mixed,pre,2008,2.2
H2 PF13,PF,Holei 2,Mixed,pre,2008,2.9
H2 PF17,PF,Holei 2,Mixed,pre,2008,1.9
H2 PF18,PF,Holei 2,Mixed,pre,2008,1.3
H2 PF23,PF,Holei 2,Mixed,pre,2008,4.5
H2 PF24,PF,Holei 2,Mixed,pre,2008,2.7
H2 PF628,PF,Holei 2,Mixed,pre,2008,3
H2 PF902,PF,Holei 2,Mixed,pre,2008,1.8
H2 PF28,PF,Holei 2,Mixed,pre,2008,5.1
H2 PF 901,PF,Holei 2,Mixed,pre,2008,4
H2 PF 32,PF,Holei 2,Mixed,pre,2008,2.4
H2 PF37,PF,Holei 2,Mixed,pre,2008,7.7
H2 PF45,PF,Holei 2,Mixed,pre,2008,2.3
H2 PF 52,PF,Holei 2,Mixed,pre,2008,4.2
H2 PF 53,PF,Holei 2,Mixed,pre,2008,7.4
H2 PF 54,PF,Holei 2,Mixed,pre,2008,0.9
H2 PF 55,PF,Holei 2,Mixed,pre,2008,4
H2 PF 56,PF,Holei 2,Mixed,pre,2008,4.2
H2 PF 57,PF,Holei 2,Mixed,pre,2008,7.2
H2 PF 59,PF,Holei 2,Mixed,pre,2008,4.7
H2 PF 66,PF,Holei 2,Mixed,pre,2008,0.3
H2 PF 82,PF,Holei 2,Mixed,pre,2008,1.4
H2 PF 83,PF,Holei 2,Mixed,pre,2008,3.3
H2 PF 1000,PF,Holei 2,Mixed,pre,2008,0.7
H2 PF 87,PF,Holei 2,Mixed,pre,2008,2.4
H2 PF 97,PF,Holei 2,Mixed,pre,2008,0.8
H2 PF 114,PF,Holei 2,Mixed,pre,2008,2.3
H2 PF 116,PF,Holei 2,Mixed,pre,2008,1.8
H2 PF 913,PF,Holei 2,Mixed,pre,2008,1.6
H2 PF 120,PF,Holei 2,Mixed,pre,2008,2.7
H2 PF 121,PF,Holei 2,Mixed,pre,2008,0.9
H2 PF 124,PF,Holei 2,Mixed,pre,2008,2.6
H2 PF 125,PF,Holei 2,Mixed,pre,2008,1.4
H2 PF 126,PF,Holei 2,Mixed,pre,2008,3.4
H2 PF 127,PF,Holei 2,Mixed,pre,2008,3.7
H2 PF 147,PF,Holei 2,Mixed,pre,2008,2.2
H2 PF 156,PF,Holei 2,Mixed,pre,2008,0.7
H2 PF 159,PF,Holei 2,Mixed,pre,2008,4.7
H2 PF 160,PF,Holei 2,Mixed,pre,2008,4.2
H2 PF 161,PF,Holei 2,Mixed,pre,2008,3.8
H2 PF 162,PF,Holei 2,Mixed,pre,2008,4.9
H2 PF 164,PF,Holei 2,Mixed,pre,2008,3
H2 PF 165,PF,Holei 2,Mixed,pre,2008,5
H2 PF 166,PF,Holei 2,Mixed,pre,2008,2.6
H2 PF 169,PF,Holei 2,Mixed,pre,2008,3.7
H2 PF 173,PF,Holei 2,Mixed,pre,2008,0.7
H2 PF 179,PF,Holei 2,Mixed,pre,2008,0.9
568,PF,Holei 2,Mixed,pre,2008,0.35
567,PF,Holei 2,Mixed,pre,2008,0.5
595,PF,Holei 2,Mixed,pre,2008,0.25
580,PF,Holei 2,Mixed,pre,2008,0.5
575,PF,Holei 2,Mixed,pre,2008,0.5
101,PF,Holei 2,Mixed,pre,2008,0.65
111,PF,Holei 2,Mixed,pre,2008,0.68
106,PF,Holei 2,Mixed,pre,2008,0.82
910,PF,Holei 2,Mixed,pre,2008,0.56
700,PF,Holei 2,Mixed,pre,2008,0.39
701,PF,Holei 2,Mixed,pre,2008,0.4
703,PF,Holei 2,Mixed,pre,2008,0.36
704,PF,Holei 2,Mixed,pre,2008,0.59
702,PF,Holei 2,Mixed,pre,2008,0.51
706,PF,Holei 2,Mixed,pre,2008,0.61
707,PF,Holei 2,Mixed,pre,2008,0.46
705,PF,Holei 2,Mixed,pre,2008,0.56
711,PF,Holei 2,Mixed,pre,2008,0.84
708,PF,Holei 2,Mixed,pre,2008,0.6
709,PF,Holei 2,Mixed,pre,2008,0.47
710,PF,Holei 2,Mixed,pre,2008,0.42
712,PF,Holei 2,Mixed,pre,2008,0.39
717,PF,Holei 2,Mixed,pre,2008,0.55
714,PF,Holei 2,Mixed,pre,2008,0.43
719,PF,Holei 2,Mixed,pre,2008,0.47
720,PF,Holei 2,Mixed,pre,2008,0.44
718,PF,Holei 2,Mixed,pre,2008,0.65
722,PF,Holei 2,Mixed,pre,2008,0.54
721,PF,Holei 2,Mixed,pre,2008,0.49
723,PF,Holei 2,Mixed,pre,2008,0.49
716,PF,Holei 2,Mixed,pre,2008,0.53
725,PF,Holei 2,Mixed,pre,2008,0.45
726,PF,Holei 2,Mixed,pre,2008,0.49
724,PF,Holei 2,Mixed,pre,2008,0.59
727,PF,Holei 2,Mixed,pre,2008,0.4
728,PF,Holei 2,Mixed,pre,2008,0.45
729,PF,Holei 2,Mixed,pre,2008,0.59
730,PF,Holei 2,Mixed,pre,2008,0.36
734,PF,Holei 2,Mixed,pre,2008,0.54
731,PF,Holei 2,Mixed,pre,2008,0.47
736,PF,Holei 2,Mixed,pre,2008,0.44
738,PF,Holei 2,Mixed,pre,2008,0.29
733,PF,Holei 2,Mixed,pre,2008,0.59
742,PF,Holei 2,Mixed,pre,2008,0.4
H2 PG 53,PG,Holei 2,Mixed,pre,2009,2.6
H2 PG 56,PG,Holei 2,Mixed,pre,2009,5.3
H2 PG 76,PG,Holei 2,Mixed,pre,2009,2.3
PG1594,PG,Holei 2,Mixed,pre,2009,0.6
PG1593,PG,Holei 2,Mixed,pre,2009,0.8
PG1589,PG,Holei 2,Mixed,pre,2009,0.5
PG1587,PG,Holei 2,Mixed,pre,2009,1.3
PG1588,PG,Holei 2,Mixed,pre,2009,0.6
PG1592,PG,Holei 2,Mixed,pre,2009,0.3
PG1590,PG,Holei 2,Mixed,pre,2009,0.3
PG1595,PG,Holei 2,Mixed,pre,2009,0.5
PG1596,PG,Holei 2,Mixed,pre,2009,2.6
PG1597,PG,Holei 2,Mixed,pre,2009,0.3
PG1598,PG,Holei 2,Mixed,pre,2009,0.6
PG1701,PG,Holei 2,Mixed,pre,2009,0.5
PG1702,PG,Holei 2,Mixed,pre,2009,0.3
PG1703,PG,Holei 2,Mixed,pre,2009,0.8
PG1704,PG,Holei 2,Mixed,pre,2009,0.5
PG1705,PG,Holei 2,Mixed,pre,2009,1.1
PG1706,PG,Holei 2,Mixed,pre,2009,0.8
PG1707,PG,Holei 2,Mixed,pre,2009,0.7
PG1713,PG,Holei 2,Mixed,pre,2009,1.5
PF3,PF,Holei 2,Mixed,pre,2009,3.9
H2 PF 159,PF,Holei 2,Mixed,pre,2009,4.7
H2 PF126,PF,Holei 2,Mixed,pre,2009,4.5
H2 PF127,PF,Holei 2,Mixed,pre,2009,4
H2 PF120,PF,Holei 2,Mixed,pre,2009,3.1
H2 PF116,PF,Holei 2,Mixed,pre,2009,2.2
H2 PF114,PF,Holei 2,Mixed,pre,2009,3.2
H2 PF111,PF,Holei 2,Mixed,pre,2009,4.5
H2 PF98,PF,Holei 2,Mixed,pre,2009,3.6
H2 PF99,PF,Holei 2,Mixed,pre,2009,3.6
H2 PF59,PF,Holei 2,Mixed,pre,2009,3.9
H2 PF 57,PF,Holei 2,Mixed,pre,2009,7.2
H2 PF56,PF,Holei 2,Mixed,pre,2009,5.6
H2 PF55,PF,Holei 2,Mixed,pre,2009,5.5
H2 PF 53,PF,Holei 2,Mixed,pre,2009,6.4
H2 PF37,PF,Holei 2,Mixed,pre,2009,7.7
H2 PF32,PF,Holei 2,Mixed,pre,2009,2.3
H2 PF23,PF,Holei 2,Mixed,pre,2009,5.4
H2 PF22,PF,Holei 2,Mixed,pre,2009,6.6
H2 PF18,PF,Holei 2,Mixed,pre,2009,3.8
H2 PF12,PF,Holei 2,Mixed,pre,2009,3.5
H2 PF10,PF,Holei 2,Mixed,pre,2009,2.7
H2 PF633,PF,Holei 2,Mixed,pre,2009,3.9
H 1,PF,Holei 2,Mixed,pre,2009,0.5
H2,PF,Holei 2,Mixed,pre,2009,0.5
H3,PF,Holei 2,Mixed,pre,2009,0.5
H4,PF,Holei 2,Mixed,pre,2009,0.5
H5,PF,Holei 2,Mixed,pre,2009,0.5
H6,PF,Holei 2,Mixed,pre,2009,0.5
H7,PF,Holei 2,Mixed,pre,2009,0.5
H8,PF,Holei 2,Mixed,pre,2009,0.5
H9,PF,Holei 2,Mixed,pre,2009,0.5
H10,PF,Holei 2,Mixed,pre,2009,0.5
H11,PF,Holei 2,Mixed,pre,2009,0.5
H12,PF,Holei 2,Mixed,pre,2009,0.5
H13,PF,Holei 2,Mixed,pre,2009,0.5
H14,PF,Holei 2,Mixed,pre,2009,0.5
H15,PF,Holei 2,Mixed,pre,2009,0.5
H16,PF,Holei 2,Mixed,pre,2009,0.5
H17,PF,Holei 2,Mixed,pre,2009,0.5
H18,PF,Holei 2,Mixed,pre,2009,0.5
H19,PF,Holei 2,Mixed,pre,2009,0.5
H20,PF,Holei 2,Mixed,pre,2009,0.5
H21,PF,Holei 2,Mixed,pre,2009,0.5
H22,PF,Holei 2,Mixed,pre,2009,0.5
H23,PF,Holei 2,Mixed,pre,2009,0.5
H24,PF,Holei 2,Mixed,pre,2009,0.5
H25,PF,Holei 2,Mixed,pre,2009,0.5
H26,PF,Holei 2,Mixed,pre,2009,0.5
H27,PF,Holei 2,Mixed,pre,2009,0.5
H28,PF,Holei 2,Mixed,pre,2009,0.5
H29,PF,Holei 2,Mixed,pre,2009,0.5
H30,PF,Holei 2,Mixed,pre,2009,0.5
H31,PF,Holei 2,Mixed,pre,2009,0.5
H32,PF,Holei 2,Mixed,pre,2009,0.5
H33,PF,Holei 2,Mixed,pre,2009,0.5
H34,PF,Holei 2,Mixed,pre,2009,0.5
H35,PF,Holei 2,Mixed,pre,2009,0.5
H36,PF,Holei 2,Mixed,pre,2009,0.5
H37,PF,Holei 2,Mixed,pre,2009,0.5
H38,PF,Holei 2,Mixed,pre,2009,0.5
H39,PF,Holei 2,Mixed,pre,2009,0.5
H40,PF,Holei 2,Mixed,pre,2009,0.5
H41,PF,Holei 2,Mixed,pre,2009,0.5
H42,PF,Holei 2,Mixed,pre,2009,0.5
H43,PF,Holei 2,Mixed,pre,2009,0.5
H44,PF,Holei 2,Mixed,pre,2009,0.5
H45,PF,Holei 2,Mixed,pre,2009,0.5
H2 PG76,PG,Holei 2,Mixed,pre,2010,2.3
1589,PG,Holei 2,Mixed,pre,2010,0.5
1592,PG,Holei 2,Mixed,pre,2010,0.3
1702,PG,Holei 2,Mixed,pre,2010,0.3
1703,PG,Holei 2,Mixed,pre,2010,0.8
1704,PG,Holei 2,Mixed,pre,2010,0.5
H2 PF 159,PF,Holei 2,Mixed,pre,2010,4.7
H2 PF127,PF,Holei 2,Mixed,pre,2010,4
H2 PF120,PF,Holei 2,Mixed,pre,2010,3.1
H2 PF114,PF,Holei 2,Mixed,pre,2010,3.2
H2 PF111,PF,Holei 2,Mixed,pre,2010,4.5
H2 PF98,PF,Holei 2,Mixed,pre,2010,3.6
H2 PF99,PF,Holei 2,Mixed,pre,2010,3.6
H2 PF59,PF,Holei 2,Mixed,pre,2010,3.9
H2 PF 57,PF,Holei 2,Mixed,pre,2010,7.2
H2 PF55,PF,Holei 2,Mixed,pre,2010,5.5
H2 PF 53,PF,Holei 2,Mixed,pre,2010,6.4
H2 PF23,PF,Holei 2,Mixed,pre,2010,5.4
H2 PF18,PF,Holei 2,Mixed,pre,2010,3.8
H2 PF10,PF,Holei 2,Mixed,pre,2010,2.7
1589,PF,Holei 2,Mixed,pre,2010,0.5
1592,PF,Holei 2,Mixed,pre,2010,0.5
1702,PF,Holei 2,Mixed,pre,2010,0.5
1703,PF,Holei 2,Mixed,pre,2010,0.5
1704,PF,Holei 2,Mixed,pre,2010,0.5
1714,PF,Holei 2,Mixed,pre,2010,0.5
206,PF,Holei 2,Mixed,pre,2010,0.5
207,PF,Holei 2,Mixed,pre,2010,0.5
1,PF,Holei 2,Mixed,pre,2010,0.5
H2 PF633,PF,Holei 2,Mixed,pre,2010,3.9
PF1634,PF,Holei 2,Mixed,post,2016,4.3
PF4,PF,Holei 2,Mixed,post,2016,8
PF5,PF,Holei 2,Mixed,post,2016,10
PF1636,PF,Holei 2,Mixed,post,2016,5.6
PF6,PF,Holei 2,Mixed,post,2016,5
PF8,PF,Holei 2,Mixed,post,2016,4
PF9,PF,Holei 2,Mixed,post,2016,5.5
PF10,PF,Holei 2,Mixed,post,2016,6
PF12,PF,Holei 2,Mixed,post,2016,7.5
PF11,PF,Holei 2,Mixed,post,2016,6.1
PF13,PF,Holei 2,Mixed,post,2016,8.1
PF14,PF,Holei 2,Mixed,post,2016,4.8
PF15,PF,Holei 2,Mixed,post,2016,11.7
PF16,PF,Holei 2,Mixed,post,2016,11.1
PF17,PF,Holei 2,Mixed,post,2016,3.8
PF18,PF,Holei 2,Mixed,post,2016,3.1
PF19,PF,Holei 2,Mixed,post,2016,5.5
PF20,PF,Holei 2,Mixed,post,2016,13.9
PF21,PF,Holei 2,Mixed,post,2016,18.1
PF22,PF,Holei 2,Mixed,post,2016,18.2
PF24,PF,Holei 2,Mixed,post,2016,17.1
1,PF,Holei 2,Mixed,post,2016,1
2,PF,Holei 2,Mixed,post,2016,1
3,PF,Holei 2,Mixed,post,2016,1
4,PF,Holei 2,Mixed,post,2016,1
5,PF,Holei 2,Mixed,post,2016,1
6,PF,Holei 2,Mixed,post,2016,1
7,PF,Holei 2,Mixed,post,2016,1
8,PF,Holei 2,Mixed,post,2016,1
9,PF,Holei 2,Mixed,post,2016,1
10,PF,Holei 2,Mixed,post,2016,1
11,PF,Holei 2,Mixed,post,2016,1
12,PF,Holei 2,Mixed,post,2016,1
13,PF,Holei 2,Mixed,post,2016,1
14,PF,Holei 2,Mixed,post,2016,1
15,PF,Holei 2,Mixed,post,2016,1
16,PF,Holei 2,Mixed,post,2016,1
17,PF,Holei 2,Mixed,post,2016,1
18,PF,Holei 2,Mixed,post,2016,1
19,PF,Holei 2,Mixed,post,2016,1
20,PF,Holei 2,Mixed,post,2016,1
21,PF,Holei 2,Mixed,post,2016,1
22,PF,Holei 2,Mixed,post,2016,1
23,PF,Holei 2,Mixed,post,2016,1
24,PF,Holei 2,Mixed,post,2016,1
25,PF,Holei 2,Mixed,post,2016,1
26,PF,Holei 2,Mixed,post,2016,1
27,PF,Holei 2,Mixed,post,2016,1
28,PF,Holei 2,Mixed,post,2016,1
29,PF,Holei 2,Mixed,post,2016,1
30,PF,Holei 2,Mixed,post,2016,1
31,PF,Holei 2,Mixed,post,2016,1
32,PF,Holei 2,Mixed,post,2016,1
33,PF,Holei 2,Mixed,post,2016,1
34,PF,Holei 2,Mixed,post,2016,1
35,PF,Holei 2,Mixed,post,2016,1
36,PF,Holei 2,Mixed,post,2016,1
37,PF,Holei 2,Mixed,post,2016,1
38,PF,Holei 2,Mixed,post,2016,1
39,PF,Holei 2,Mixed,post,2016,1
40,PF,Holei 2,Mixed,post,2016,1
41,PF,Holei 2,Mixed,post,2016,1
42,PF,Holei 2,Mixed,post,2016,1
43,PF,Holei 2,Mixed,post,2016,1
44,PF,Holei 2,Mixed,post,2016,1
45,PF,Holei 2,Mixed,post,2016,1
46,PF,Holei 2,Mixed,post,2016,1
47,PF,Holei 2,Mixed,post,2016,1
48,PF,Holei 2,Mixed,post,2016,1
49,PF,Holei 2,Mixed,post,2016,1
50,PF,Holei 2,Mixed,post,2016,1
51,PF,Holei 2,Mixed,post,2016,1
52,PF,Holei 2,Mixed,post,2016,1
53,PF,Holei 2,Mixed,post,2016,1
54,PF,Holei 2,Mixed,post,2016,1
55,PF,Holei 2,Mixed,post,2016,1
56,PF,Holei 2,Mixed,post,2016,1
57,PF,Holei 2,Mixed,post,2016,1
58,PF,Holei 2,Mixed,post,2016,1
59,PF,Holei 2,Mixed,post,2016,1
60,PF,Holei 2,Mixed,post,2016,1
61,PF,Holei 2,Mixed,post,2016,1
62,PF,Holei 2,Mixed,post,2016,1
63,PF,Holei 2,Mixed,post,2016,1
64,PF,Holei 2,Mixed,post,2016,1
65,PF,Holei 2,Mixed,post,2016,1
66,PF,Holei 2,Mixed,post,2016,1
67,PF,Holei 2,Mixed,post,2016,1
68,PF,Holei 2,Mixed,post,2016,1
69,PF,Holei 2,Mixed,post,2016,1
70,PF,Holei 2,Mixed,post,2016,1
71,PF,Holei 2,Mixed,post,2016,1
72,PF,Holei 2,Mixed,post,2016,1
73,PF,Holei 2,Mixed,post,2016,1
74,PF,Holei 2,Mixed,post,2016,1
75,PF,Holei 2,Mixed,post,2016,1
76,PF,Holei 2,Mixed,post,2016,1
77,PF,Holei 2,Mixed,post,2016,1
78,PF,Holei 2,Mixed,post,2016,1
79,PF,Holei 2,Mixed,post,2016,1
80,PF,Holei 2,Mixed,post,2016,1
81,PF,Holei 2,Mixed,post,2016,1
82,PF,Holei 2,Mixed,post,2016,1
83,PF,Holei 2,Mixed,post,2016,1
84,PF,Holei 2,Mixed,post,2016,1
85,PF,Holei 2,Mixed,post,2016,1
86,PF,Holei 2,Mixed,post,2016,1
87,PF,Holei 2,Mixed,post,2016,1
88,PF,Holei 2,Mixed,post,2016,1
89,PF,Holei 2,Mixed,post,2016,1
90,PF,Holei 2,Mixed,post,2016,1
91,PF,Holei 2,Mixed,post,2016,1
92,PF,Holei 2,Mixed,post,2016,1
93,PF,Holei 2,Mixed,post,2016,1
94,PF,Holei 2,Mixed,post,2016,1
95,PF,Holei 2,Mixed,post,2016,1
96,PF,Holei 2,Mixed,post,2016,1
97,PF,Holei 2,Mixed,post,2016,1
98,PF,Holei 2,Mixed,post,2016,1
99,PF,Holei 2,Mixed,post,2016,1
100,PF,Holei 2,Mixed,post,2016,1
101,PF,Holei 2,Mixed,post,2016,1
102,PF,Holei 2,Mixed,post,2016,1
103,PF,Holei 2,Mixed,post,2016,1
104,PF,Holei 2,Mixed,post,2016,1
105,PF,Holei 2,Mixed,post,2016,1
106,PF,Holei 2,Mixed,post,2016,1
107,PF,Holei 2,Mixed,post,2016,1
108,PF,Holei 2,Mixed,post,2016,1
109,PF,Holei 2,Mixed,post,2016,1
110,PF,Holei 2,Mixed,post,2016,1
111,PF,Holei 2,Mixed,post,2016,1
112,PF,Holei 2,Mixed,post,2016,1
113,PF,Holei 2,Mixed,post,2016,1
114,PF,Holei 2,Mixed,post,2016,1
115,PF,Holei 2,Mixed,post,2016,1
116,PF,Holei 2,Mixed,post,2016,1
117,PF,Holei 2,Mixed,post,2016,1
118,PF,Holei 2,Mixed,post,2016,1
119,PF,Holei 2,Mixed,post,2016,1
120,PF,Holei 2,Mixed,post,2016,1
121,PF,Holei 2,Mixed,post,2016,1
122,PF,Holei 2,Mixed,post,2016,1
123,PF,Holei 2,Mixed,post,2016,1
124,PF,Holei 2,Mixed,post,2016,1
125,PF,Holei 2,Mixed,post,2016,1
126,PF,Holei 2,Mixed,post,2016,1
127,PF,Holei 2,Mixed,post,2016,1
128,PF,Holei 2,Mixed,post,2016,1
129,PF,Holei 2,Mixed,post,2016,1
130,PF,Holei 2,Mixed,post,2016,1
131,PF,Holei 2,Mixed,post,2016,1
132,PF,Holei 2,Mixed,post,2016,1
133,PF,Holei 2,Mixed,post,2016,1
134,PF,Holei 2,Mixed,post,2016,1
135,PF,Holei 2,Mixed,post,2016,1
136,PF,Holei 2,Mixed,post,2016,1
137,PF,Holei 2,Mixed,post,2016,1
138,PF,Holei 2,Mixed,post,2016,1
139,PF,Holei 2,Mixed,post,2016,1
140,PF,Holei 2,Mixed,post,2016,1
141,PF,Holei 2,Mixed,post,2016,1
142,PF,Holei 2,Mixed,post,2016,1
143,PF,Holei 2,Mixed,post,2016,1
144,PF,Holei 2,Mixed,post,2016,1
145,PF,Holei 2,Mixed,post,2016,1
146,PF,Holei 2,Mixed,post,2016,1
147,PF,Holei 2,Mixed,post,2016,1
148,PF,Holei 2,Mixed,post,2016,1
149,PF,Holei 2,Mixed,post,2016,1
150,PF,Holei 2,Mixed,post,2016,1
151,PF,Holei 2,Mixed,post,2016,1
152,PF,Holei 2,Mixed,post,2016,1
153,PF,Holei 2,Mixed,post,2016,1
154,PF,Holei 2,Mixed,post,2016,1
155,PF,Holei 2,Mixed,post,2016,1
156,PF,Holei 2,Mixed,post,2016,1
157,PF,Holei 2,Mixed,post,2016,1
158,PF,Holei 2,Mixed,post,2016,1
159,PF,Holei 2,Mixed,post,2016,1
160,PF,Holei 2,Mixed,post,2016,1
161,PF,Holei 2,Mixed,post,2016,1
162,PF,Holei 2,Mixed,post,2016,1
163,PF,Holei 2,Mixed,post,2016,1
164,PF,Holei 2,Mixed,post,2016,1
165,PF,Holei 2,Mixed,post,2016,1
166,PF,Holei 2,Mixed,post,2016,1
167,PF,Holei 2,Mixed,post,2016,1
168,PF,Holei 2,Mixed,post,2016,1
169,PF,Holei 2,Mixed,post,2016,1
170,PF,Holei 2,Mixed,post,2016,1
171,PF,Holei 2,Mixed,post,2016,1
172,PF,Holei 2,Mixed,post,2016,1
